Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
菲列克斯（Felix）,Felix,,,,tên riêng (tự điền)
菲利,Phili,,,,tên riêng (tự điền)
菲利普,Felipe,,,,tên riêng (tự điền)
菲利波,Filippo,,,,tên riêng (tự điền)
菲利韦托,×80,,,,tên riêng (tự điền)
菲力,Felix,,,,tên riêng (tự điền)
菲奥莉,Fiori,,,,tên riêng (tự điền)
菲奥蕾,Fiore,,,,tên riêng (tự điền)
菲娅玛,Fianna,,,,tên riêng (tự điền)
菲尼亚斯,Phineas,,,,tên riêng (tự điền)
菲尼安,Finian,,,,tên riêng (tự điền)
菲德,Fied,,,,tên riêng (tự điền)
菲德伦,Fidren,,,,tên riêng (tự điền)
菲德拉,Phaedra,,,,tên riêng (tự điền)
菲德拉茨,Federico,,,,tên riêng (tự điền)
菲斯塔,Festa,,,,tên riêng (tự điền)
菲比,Phoebe,,,,tên riêng (tự điền)
菲约松,Fjolsson,,,,tên riêng (tự điền)
菲罗奥娜,Filoona,,,,tên riêng (tự điền)
菲茨,Fitz,,,,tên riêng (tự điền)
菲莉,Fili,,,,tên riêng (tự điền)
菲莉希蒂,Felicity,,,,tên riêng (tự điền)
菲菲,Phi Phi,,,,tên riêng (tự điền)
萋萋,"Tóm lại, gần đây bên ngoài không yên ổn, cậu hãy chịu khó đi cùng vị Rover này dạo quanh trong thành. Còn Yangyang… có tin tức, tôi sẽ báo cho cậu đầu tiên.",,,,tên riêng (tự điền)
萝米尔达,Romilda,,,,tên riêng (tự điền)
萝米尔达（Romilda）,Romilda,,,,tên riêng (tự điền)
萤栖,Huỳnh Thê,,,,tên riêng (tự điền)
萤耀晶簇,Chixia,Glowing Crystal Cluster,,,tên riêng (tự điền)
营地居民,Baizhi,,,,tên riêng (tự điền)
营地广播,16,,,,tên riêng (tự điền)
营地管理员,2333,,,,tên riêng (tự điền)
营地老人,8777,,,,tên riêng (tự điền)
营地队长,55/75,,,,tên riêng (tự điền)
营地首领,Lingyang,,,,tên riêng (tự điền)
萧史,Tiêu Sử,,,,tên riêng (tự điền)
萨伦,Saren,,,,tên riêng (tự điền)
萨凡纳,Savannah,,,,tên riêng (tự điền)
萨姆博格,Samberg,,,,tên riêng (tự điền)
萨姆沙斯,Samousas,,,,tên riêng (tự điền)
萨尔切拉,Salcera,,,,tên riêng (tự điền)
萨尔维,Salvi,,,,tên riêng (tự điền)
萨巴蒂诺,Sinh Lực,,,,tên riêng (tự điền)
萨拉,Sara,,,,tên riêng (tự điền)
萨敏,Samin,,,,tên riêng (tự điền)
萨斯基亚,Saskia,,,,tên riêng (tự điền)
萨纳,Sana,,,,tên riêng (tự điền)
萨纳西斯,Thanasis,,,,tên riêng (tự điền)
萨纳（Sana）,Sana,,,,tên riêng (tự điền)
萨迦,Sakya,,,,tên riêng (tự điền)
萨迦教授,Giáo Sư Saga,,,,tên riêng (tự điền)
萨鲁克,Saruk,,,,tên riêng (tự điền)
萱萱,"Yinlin, kế hoạch tiếp theo của chị là gì?",,,,tên riêng (tự điền)
落入黑潮的女孩,Cô Gái Rơi Vào <ano=Black Tide>Hắc Triều</ano>,,,,tên riêng (tự điền)
落单的捣蛋猿,×1,,,,tên riêng (tự điền)
落单的日灵,Nhật Linh Lẻ Loi,,,,tên riêng (tự điền)
落定岭,Lạc Định Lĩnh,Settle Range,,,tên riêng (tự điền)
落灀,Lạc Lung,,,,tên riêng (tự điền)
落灰的盒子,1,,,,tên riêng (tự điền)
落魄的上班族,Nhân Viên Văn Phòng Sa Cơ,,,,tên riêng (tự điền)
葛根,Danjin,Kudzu Root,,,tên riêng (tự điền)
葛索尼,Gasoni,,,,tên riêng (tự điền)
葛蔓,Cát Mạn,,,,tên riêng (tự điền)
董叔,5,,,,tên riêng (tự điền)
蒂塔,Tita,,,,tên riêng (tự điền)
蒂娜,Tina,,,,tên riêng (tự điền)
蒂娜菲,Tinafey,,,,tên riêng (tự điền)
蒂斯代尔,Tisdale,,,,tên riêng (tự điền)
蒂洛,Delios,,,,tên riêng (tự điền)
蒂纳,Tina,,,,tên riêng (tự điền)
蒂莫西,Timothy,,,,tên riêng (tự điền)
蒙托斯,Montos,,,,tên riêng (tự điền)
蒙面信徒,Tín Đồ Bịt Mặt,,,,tên riêng (tự điền)
蒲深,-50%,,,,tên riêng (tự điền)
蓝头发研究员,Nghiên Cứu Viên Tóc Xanh,,,,tên riêng (tự điền)
蓝棘蜥,Yangyang,Azure Iguana,,,tên riêng (tự điền)
蓝羽蝶,0,Blue Feather Butterfly,,,tên riêng (tự điền)
蔓达,Manda,,,,tên riêng (tự điền)
蔚舒,1P,,,,tên riêng (tự điền)
蔻蔻,Sinh Lực,,,,tên riêng (tự điền)
蕾嘉,Lôi Gia,,,,tên riêng (tự điền)
蕾欧诺拉,Leonora,,,,tên riêng (tự điền)
薇依,Lv.18,,,,tên riêng (tự điền)
薇薇安,8777,,,,tên riêng (tự điền)
薇达,Vida,,,,tên riêng (tự điền)
薇达（通讯中）,Vida,,,,tên riêng (tự điền)
薛涂,Tiết Đồ,,,,tên riêng (tự điền)
薜荔,Yangyang,Creeping Fig,,,tên riêng (tự điền)
藏起来的日灵,<ano=Soliskin>Nhật Linh</ano> đang trốn,,,,tên riêng (tự điền)
虎口山脉,32S,"Hukou, the Tiger's Maw",,,tên riêng (tự điền)
虎口矿场,1,Hukou Mine,,,tên riêng (tự điền)
虎口豆腐,1000,Hukou Tofu,,,tên riêng (tự điền)
虎口豆腐食谱,16,Recipe: Hukou Tofu,,,tên riêng (tự điền)
虎斑纹猫,Mèo Vằn,,,,tên riêng (tự điền)
虔诚的信徒,Tín Đồ Thành Kính,,,,tên riêng (tự điền)
虔诚的修女,Nữ Tu Thành Kính,,,,tên riêng (tự điền)
虔诚的女教士,MAX,,,,tên riêng (tự điền)
虔诚的愚人,2,,,,tên riêng (tự điền)
虔诚的教士,Giáo Sĩ Sùng Đạo,,,,tên riêng (tự điền)
虔诚的民众,Dân Chúng Thành Kính,,,,tên riêng (tự điền)
虔诚的民众1,Dân Chúng Thành Kính 1,,,,tên riêng (tự điền)
虔诚的民众2,Dân Chúng Thành Kính 2,,,,tên riêng (tự điền)
虔诚的民众3,Dân Chúng Thành Kính 3,,,,tên riêng (tự điền)
虔诚的谕女,Dụ Nữ Thành Kính,,,,tên riêng (tự điền)
虚弱的“流放者”,Lv.2,,,,tên riêng (tự điền)
虚弱的日灵,<ano=Sunspirit>Nhật Linh</ano> Suy Yếu,,,,tên riêng (tự điền)
虚弱的流放者,Sinh Lực,,,,tên riêng (tự điền)
虚弱的男声,Giọng Nam Yếu Ớt,,,,tên riêng (tự điền)
虚弱的老人,(1/1),,,,tên riêng (tự điền)
虚弱的角斗士,Đấu Sĩ Yếu Ớt,,,,tên riêng (tự điền)
虚弱的频率,Tần Số Yếu Ớt,,,,tên riêng (tự điền)
虚质学部学生,Học Sinh <ano=Department of Virtual Matter>Khoa Hư Chất</ano>,,,,tên riêng (tự điền)
虚质科学部女生,Nữ Sinh Khoa Khoa Học Hư Chất,,,,tên riêng (tự điền)
虚质科学部男生,Nam Sinh Khoa Khoa Học Hư Chất,,,,tên riêng (tự điền)
虚饰骑士,Hiệp Sĩ Phù Phiếm,,,,tên riêng (tự điền)
虞美人,00,Corn Poppy,,,tên riêng (tự điền)
虹敬,Hồng Kính,,,,tên riêng (tự điền)
虹镇的居民,Yangyang,,,,tên riêng (tự điền)
蚀夜幽兰,x99,Orchid Eclipse,,,tên riêng (tự điền)
蛟龙帮的快递箱,Jiyan,Cruising Drake's Delivery Box,,,tên riêng (tự điền)
蛮熊,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
蜜尔,Mil,,,,tên riêng (tự điền)
蜜芽,Miya,,,,tên riêng (tự điền)
蝴蝶结管家,Quản Gia Nơ,,,,tên riêng (tự điền)
融火虫少年,Thiếu Niên Đom Đóm Lửa,,,,tên riêng (tự điền)
螯合众首领,2s,,,,tên riêng (tự điền)
蟆仔,Mô Tử,,,,tên riêng (tự điền)
蟹商海牙,Thương Nhân Bán Cua Haag,,,,tên riêng (tự điền)
血色的字迹【第一谜题】,Nét Chữ Màu Máu [Câu Đố Đầu Tiên],,,,tên riêng (tự điền)
行云,Hành Vân,,,,tên riêng (tự điền)
行均,Xingjun,,,,tên riêng (tự điền)
行山,Hành Sơn,,,,tên riêng (tự điền)
行礼的教士,Giáo Sĩ Hành Lễ,,,,tên riêng (tự điền)
行远,200,,,,tên riêng (tự điền)
行风,2700/5000,,,,tên riêng (tự điền)
衍射拓扑晶体,"Những kẻ mù quáng chạm vào thứ sức mạnh đó thường lên đường với bầu nhiệt huyết, nhưng chẳng bao lâu sẽ vượt quá giới hạn rồi chìm vào điên loạn.",Spectra Topological Crystal,,,tên riêng (tự điền)
衍射拓扑晶棱,"<ano=Rover>Rover</ano>, cho dù cậu may mắn thoát ra khỏi tuyệt cảnh, cũng không phải là ngoại lệ.",Spectra Topological Prism,,,tên riêng (tự điền)
衍射拓扑晶片,Lv.0,Spectra Topological Crystal Fragment,,,tên riêng (tự điền)
衍射拓扑晶砂,Yangyang,Spectra Topological Sand Crystal,,,tên riêng (tự điền)
街头乐师,Nhạc Sĩ Đường Phố,,,,tên riêng (tự điền)
街头帮派的新人,Tân binh băng đảng đường phố,,,,tên riêng (tự điền)
街头诗人,Nhà Thơ Đường Phố,,,,tên riêng (tự điền)
街角的音响【公益广播】,Loa Nơi Góc Phố [Phát Thanh Công Ích],,,,tên riêng (tự điền)
衡锥,Hengzhui,,,,tên riêng (tự điền)
衣冠整齐的乘务员【影视剪辑】,Tiếp Viên Ăn Mặc Chỉnh Tề [Dựng Phim],,,,tên riêng (tự điền)
补给站,1,Supply Station,,,tên riêng (tự điền)
表情严肃的女人,Người phụ nữ vẻ mặt nghiêm túc,,,,tên riêng (tự điền)
表情忧伤的女人,Người phụ nữ vẻ mặt u buồn,,,,tên riêng (tự điền)
表示惊奇的民众,Người Dân Tỏ Vẻ Kinh Ngạc,,,,tên riêng (tự điền)
表示赞赏的民众,Người Dân Tỏ Vẻ Tán Thưởng,,,,tên riêng (tự điền)
表达敬佩的学生,Học Sinh Bày Tỏ Kính Phục,,,,tên riêng (tự điền)
表达敬意的角斗士,Đấu Sĩ Bày Tỏ Sự Tôn Kính,,,,tên riêng (tự điền)
表面完全晶石化的叶片。,Triệu hồi cơ bản ba la ba la,,,,tên riêng (tự điền)
袁岸,Viên Ngạn,,,,tên riêng (tự điền)
袁彩,Viên Thải,,,,tên riêng (tự điền)
袁黛,Viên Đại,,,,tên riêng (tự điền)
被丢弃的合剂瓶,<ano=Scar>Scar</ano>,,,,tên riêng (tự điền)
被关的夜归队员,"Baizhi, cậu lo xa quá rồi. Lúc mình phát hiện {PlayerName}, {TA} vẫn đang hôn mê.",,,,tên riêng (tự điền)
被困的日灵,Nhật Linh Mắc Kẹt,,,,tên riêng (tự điền)
被困的研究员,Nhà Nghiên Cứu Bị Mắc Kẹt,,,,tên riêng (tự điền)
被围困的机器人,Robot Bị Vây Khốn,,,,tên riêng (tự điền)
被围攻的小狗,24,,,,tên riêng (tự điền)
被抛弃的贡多拉,Gondola Bị Vứt Bỏ,,,,tên riêng (tự điền)
被指证的真凶【知名导演】,Hung Thủ Thật Sự Bị Chỉ Trích [Đạo Diễn Nổi Tiếng],,,,tên riêng (tự điền)
被揉皱的欠条,Lv.,,,,tên riêng (tự điền)
被污染的日灵,<ano=Sunspirit>Nhật Linh</ano> Bị Ô Nhiễm,,,,tên riêng (tự điền)
被流放的愚人,1,,,,tên riêng (tự điền)
被消气的流放者二哥,Pacified Older Exile,,,,tên riêng (tự điền)
被袭击的日灵,<ano=Soliskin>Nhật Linh</ano> Bị <ano=attack>Tấn Công</ano>,,,,tên riêng (tự điền)
被袭击者,Name,,,,tên riêng (tự điền)
被解救的士兵,Binh Sĩ Được Giải Cứu,,,,tên riêng (tự điền)
被解救的日灵们,Những <ano=Sun Spirits>Nhật Linh</ano> được giải cứu,,,,tên riêng (tự điền)
被识破的“陈大宝”,+10%,,,,tên riêng (tự điền)
被贮藏的声音【影片监制】,Giọng Nói Được Lưu Trữ [Sản Xuất Phim],,,,tên riêng (tự điền)
裁夺者,Người Phán Quyết,,,,tên riêng (tự điền)
装备后可以减弱焚焰海的负面效果,A,Equip to reduce the negative effects caused by the Incineranur,,,tên riêng (tự điền)
装潢家政万能【舞台灯光】,Vạn Năng Trang Trí Nội Thất [Ánh Sáng Sân Khấu],,,,tên riêng (tự điền)
装着蛟龙帮发明的快递箱。,Speaker_711_Name,Delivery box containing the inventions of the Cruising Drake.,,,tên riêng (tự điền)
裳裳,888,,,,tên riêng (tự điền)
裴文,Bùi Văn,,,,tên riêng (tự điền)
裴洛斯,Peros,,,,tên riêng (tự điền)
褪色剑冢,Mộ Kiếm Phai Màu,,,,tên riêng (tự điền)
褪色的告示板,-50%,,,,tên riêng (tự điền)
褪色的铭牌,Bảng Tên Phai Màu,,,,tên riêng (tự điền)
褪色雕像,Bức Tượng Phai Màu,,,,tên riêng (tự điền)
褶皱的残页,Trang Giấy Nhàu Nát,,,,tên riêng (tự điền)
襄宁,Tương Ninh,,,,tên riêng (tự điền)
西云,Chixia,,,,tên riêng (tự điền)
西卡,Tăng Cường Echo,,,,tên riêng (tự điền)
西塞罗,Cicero,,,,tên riêng (tự điền)
西奥,Theo,,,,tên riêng (tự điền)
西奥多,Theodore,,,,tên riêng (tự điền)
西奥多罗斯,Theodoros,,,,tên riêng (tự điền)
西奥贝德,Theobed,,,,tên riêng (tự điền)
西尔弗斯坦,Silverstein,,,,tên riêng (tự điền)
西尔瓦努斯,Silvanus,,,,tên riêng (tự điền)
西尔瓦家主,Gia chủ Silva,,,,tên riêng (tự điền)
西庇罗,Scipiro,,,,tên riêng (tự điền)
西格莉卡,Sigrika,,,,tên riêng (tự điền)
西格莉卡的日记,Nhật ký của Sigrika,,,,tên riêng (tự điền)
西格莉卡？,Sigrika?,,,,tên riêng (tự điền)
西比拉,Sibilla,,,,tên riêng (tự điền)
西沙,1,,,,tên riêng (tự điền)
西涟塔,Silenta,,,,tên riêng (tự điền)
西涟塔（Silenta）,Silenta,,,,tên riêng (tự điền)
西皮奥,Scipio,,,,tên riêng (tự điền)
西索斯,Sisos,,,,tên riêng (tự điền)
西芙,Sif,,,,tên riêng (tự điền)
西莉亚,Celia,,,,tên riêng (tự điền)
西莫妮,Shimone,,,,tên riêng (tự điền)
西莫斯,Simos,,,,tên riêng (tự điền)
西莫斯先生,Ngài Simos,,,,tên riêng (tự điền)
西蒙,Simone,,,,tên riêng (tự điền)
西蒙德,Simond,,,,tên riêng (tự điền)
西西,8777,,,,tên riêng (tự điền)
西里尔,Cyril,,,,tên riêng (tự điền)
西默内,99,,,,tên riêng (tự điền)
观众,Khán Giả,,,,tên riêng (tự điền)
观众A,Lv.0,,,,tên riêng (tự điền)
观众B,"Dữ Liệu Echo do Học Viện Nghiên Cứu Hoàng Long phát triển dựa trên đặc tính dữ liệu sinh vật của Khu Vực Hoàng Long, có thể tăng cường hiệu quả học tập cường hóa của Echo tại Khu Vực Hoàng Long một cách hiệu quả.",,,,tên riêng (tự điền)
观众C,Khán giả C,,,,tên riêng (tự điền)
观众D,Lv.01,,,,tên riêng (tự điền)
观众E,Khán giả E,,,,tên riêng (tự điền)
观众F,"Dữ Liệu Echo do Học Viện Nghiên Cứu Hoàng Long phát triển dựa trên đặc tính dữ liệu sinh vật của Khu Vực Hoàng Long, có thể tăng cường hiệu quả học tập cường hóa của Echo tại Khu Vực Hoàng Long một cách hiệu quả.",,,,tên riêng (tự điền)
观众G,Khán giả G,,,,tên riêng (tự điền)
观众H,0,,,,tên riêng (tự điền)
观众I,0,,,,tên riêng (tự điền)
观众J,Khán giả J,,,,tên riêng (tự điền)
观众K,Khán giả K,,,,tên riêng (tự điền)
观众女孩妈妈,"Bộ Dữ Liệu Echo do Học Viện Nghiên Cứu Hoàng Long phát triển nhằm vào đặc tính Dữ liệu sinh vật tại Khu Vực Hoàng Long, có thể tăng cường hiệu quả học tập tăng cường của Echo tại khu vực Hoàng Long một cách hiệu quả.",,,,tên riêng (tự điền)
观众孩童,Trẻ Em Khán Giả,,,,tên riêng (tự điền)
观众小女孩,Bé Gái Khán Giả,,,,tên riêng (tự điền)
观察公园的人,Người Quan Sát Công Viên,,,,tên riêng (tự điền)
观测站,Trạm Quan Sát,,,,tên riêng (tự điền)
观测黯原的研究员,<ano=researchers>Nhà nghiên cứu</ano> đang <ano=monitoring>quan trắc</ano> <ano=Dimmr Plains>Đồng Bằng Dimmr</ano>,,,,tên riêng (tự điền)
观赏石头的人,Người Ngắm Đá,,,,tên riêng (tự điền)
规划详实的游客【影片监制】,Du Khách Lên Kế Hoạch Chi Tiết [Giám Chế Phim],,,,tên riêng (tự điền)
规律的震颤声,Âm Thanh Rung Động Nhịp Nhàng,,,,tên riêng (tự điền)
觅知,Mịch Tri,,,,tên riêng (tự điền)
觅知（通讯中）,Mịch Tri,,,,tên riêng (tự điền)
视界,Thị Giới,,,,tên riêng (tự điền)
角斗冠军,Chixia,,,,tên riêng (tự điền)
角斗场接待员,+20.8%,,,,tên riêng (tự điền)
角斗士,Đấu Sĩ,,,,tên riêng (tự điền)
角斗士伊桑,Đấu Sĩ Ethan,,,,tên riêng (tự điền)
角斗士协助者,Người Hỗ Trợ Đấu Sĩ,,,,tên riêng (tự điền)
角斗士哈维尔,Đấu Sĩ Harelius,,,,tên riêng (tự điền)
角斗士奥罗拉,Đấu Sĩ Aurora,,,,tên riêng (tự điền)
角斗士幻影,Ảo Ảnh Võ Sĩ Giác Đấu,,,,tên riêng (tự điền)
角斗士的声音,Giọng Đấu Sĩ,,,,tên riêng (tự điền)
角斗赛事务员,Nhân Viên Sự Vụ Đấu Trường,,,,tên riêng (tự điền)
角鳄战斗要诀之九,Yếu Quyết Chiến Đấu Của Giác Ngạc - Phần Chín,,,,tên riêng (tự điền)
解开束缚之人【自由羽翼】,Người Tháo Gỡ Xiềng Xích [Đôi Cánh Tự Do],,,,tên riêng (tự điền)
解离拓扑晶体,Speaker_189_Name,Havoc Topological Crystal,,,tên riêng (tự điền)
解离拓扑晶棱,Speaker_187_Name,Havoc Topological Prism,,,tên riêng (tự điền)
解离拓扑晶片,Yangyang,Havoc Topological Crystal Fragment,,,tên riêng (tự điền)
解离拓扑晶砂,Speaker_183_Name,Havoc Topological Sand Crystal,,,tên riêng (tự điền)
解说的研究员,Nghiên Cứu Viên Thuyết Trình,,,,tên riêng (tự điền)
言荀,Ngôn Tuân,,,,tên riêng (tự điền)
詹卢卡,Gianluca,,,,tên riêng (tự điền)
詹娜婆婆,Sinh Lực,,,,tên riêng (tự điền)
詹弗兰科,Gianfranco,,,,tên riêng (tự điền)
詹那罗,Gennaro,,,,tên riêng (tự điền)
警惕的夜归士兵,Binh Sĩ Dạ Quy Cảnh Giác,,,,tên riêng (tự điền)
警惕的女生,Nữ Sinh Cảnh Giác,,,,tên riêng (tự điền)
警惕的研究员,Nghiên Cứu Viên Cảnh Giác,,,,tên riêng (tự điền)
警惕的莫塔里成员,6,,,,tên riêng (tự điền)
警戒的流民,Dân Tị Nạn Cảnh Giác,,,,tên riêng (tự điền)
警报,Cảnh Báo,,,,tên riêng (tự điền)
警报声,1,,,,tên riêng (tự điền)
警署医生,Baizhi,,,,tên riêng (tự điền)
认真工作的研究员,×80,,,,tên riêng (tự điền)
认真的商贩【妆造大师】,Thương Nhân Nghiêm Túc [Bậc Thầy Trang Điểm],,,,tên riêng (tự điền)
认真的士兵,Binh Sĩ Nghiêm Túc,,,,tên riêng (tự điền)
认真的天工匠,Thợ Thiên Công nghiêm túc,,,,tên riêng (tự điền)
认真的天工匠(通讯中）,Thợ Thiên Công nghiêm túc,,,,tên riêng (tự điền)
认真的天工匠（通讯中）,Thợ Thiên Công nghiêm túc,,,,tên riêng (tự điền)
